Connections, minTime, maxTime, average
  4992,     0.189,    863.300,     14.577
  5988,     0.158,   1013.635,     28.429
  6984,     0.235,   2458.338,     36.411
  7980,     0.189,    891.076,     26.957
  8976,     0.199,   3921.369,     56.791
  9972,     0.185,   3040.442,     56.720
 10968,     0.207,   4014.425,     56.997
 11964,     0.212,   5294.192,     77.618
 12960,     0.277,   7088.454,     70.234
 13956,     0.271,   6774.751,     77.385
 14952,     0.217,   5915.366,     81.605
 15948,     0.198,   9445.274,     88.513
 16944,     0.263,  10507.204,    102.107
 17940,     0.272,   9610.671,     95.749
 18936,     0.237,   7919.272,    113.255
 19932,     0.435,   9057.950,     99.552
 20928,     0.293,  10835.441,    114.968
 21924,     0.139,   9525.548,    123.956
 22920,     0.352,  13801.049,    133.919
 23916,     0.659,   9340.804,    150.378
 24912,     0.774,  13105.282,    139.406
 25908,     0.713,  16641.371,    162.618
 26904,     0.740,  16054.139,    152.650
 27900,     0.276,  16966.521,    170.799
 28896,     0.453,  11647.552,    159.002
 29892,     0.854,  11647.902,    130.226
 30888,     0.474,  18058.448,    169.326
 31884,     0.986,  14749.251,    133.308
 32880,
