Connections, minTime, maxTime, average
  4992,     1.655,    282.394,     11.133
  5988,     2.258,    357.614,     21.545
  6984,     2.598,    390.339,     19.770
  7980,     3.014,    696.572,     31.121
  8976,     3.471,    727.970,     34.888
  9972,     3.742,    708.817,     37.523
 10968,     3.900,    538.386,     36.100
 11964,     3.992,    616.858,     31.525
 12960,     4.491,    732.577,     35.670
 13956,     4.613,    711.983,     36.541
 14952,     5.090,    729.800,     36.715
 15948,     5.855,    733.841,     62.325
 16944,     5.801,    906.016,     47.077
 17940,     6.417,    900.649,     58.680
 18936,     6.270,    775.110,     61.382
 19932,     6.836,    972.979,     71.600
 20928,     7.012,   1121.183,     83.141
 21924,     7.874,   1082.995,     97.584
 22920,     7.718,    911.322,    103.672
 23916,     8.340,   1281.780,    104.590
 24912,     9.625,   1319.696,    105.804
 25908,     8.550,   1282.807,    111.735
 26904,     9.828,   1361.568,    129.045
 27900,    10.174,   1412.244,    132.960
 28896,     9.990,   1472.129,    125.946
 29892,     9.813,   1839.603,    142.640
 30888,     9.715,   1531.845,    141.236
 31884,    12.020,   1728.238,    139.099
 32880,    11.420,   1696.789,    126.559
 33876,    11.549,   1675.896,    149.128
 34872,    12.500,   1862.157,    125.965
 35868,     6.962,   1854.023,    133.637
 36864,    12.583,   1818.308,    136.919
 37860,    10.702,   1895.953,    161.854
 38856,    13.366,   1971.439,    161.156
 39852,    15.932,   2047.392,    165.637
 40848,    14.575,   2018.355,    159.631
 41844,    15.028,   2237.170,    162.665
 42840,    13.486,   2144.744,    159.953
 43836,    15.361,   2185.189,    204.828
 44832,    15.441,   2388.917,    156.293
 45828,    13.642,   2485.590,    215.083
 46824,    14.396,   2533.698,    178.158
 47820,    16.523,   3294.033,    171.928
 48816,    17.569,   6556.119,    284.220
 49812,     9.694,   3307.439,    188.861
 50808,    19.924,   3435.445,    303.709
 51804,    17.326,   2517.582,    221.379
 52800,    16.667,   2648.639,    206.410
 53796,    20.080,   2698.919,    178.556
 54792,    18.604,   6520.532,    209.725
 55788,    19.229,   3297.938,    301.861
 56784,    21.632,   2960.505,    231.241
 57780,    18.946,  26099.392,    369.677
 58776,    23.000,   3316.215,    363.772
 59772,     7.542,   3193.871,    205.877
 60768,    22.623,   6542.170,    338.033
 61764,    23.275,   6524.578,    305.719
 62760,    23.844,   3354.557,    280.942
 63756,    20.864,   3701.751,    199.341
 64752,    19.184,   3413.601,    231.730
 65748,    23.830,   3260.884,    296.263
 66744,    25.594,  13107.921,    337.619
 67740,    19.712,   3573.130,    229.607
 68736,    23.336,   3698.214,    244.093
 69732,    27.281,   3795.715,    274.219
 70728,    25.072,  13032.156,    344.991
 71724,    25.107,   3593.412,    225.360
 72720,
