Connections, minTime, maxTime, average
  4992,     1.104,     87.045,      8.484
  5988,     1.563,    240.700,     14.937
  6984,     1.586,    220.253,     15.371
  7980,     2.360,    255.053,     24.653
  8976,     1.094,    434.590,     23.241
  9972,     2.515,    234.114,     23.294
 10968,     2.759,    654.607,     25.877
 11964,     3.106,    437.090,     18.631
 12960,     3.600,   2467.514,     32.846
 13956,     3.838,   2113.623,     37.458
 14952,     3.418,   4115.426,     38.348
 15948,     3.856,    708.104,     53.786
 16944,     4.644,    987.404,     39.504
 17940,     5.012,    739.255,     37.703
 18936,     5.177,    469.704,     35.921
 19932,     5.493,    663.055,     41.718
 20928,     6.208,   1456.685,     81.543
 21924,     6.238,   1048.349,     79.293
 22920,     6.631,   1834.067,     67.614
 23916,     7.623,    936.097,     97.784
 24912,     6.460,    911.283,     81.652
 25908,     6.474,   2977.792,    100.568
 26904,     6.646,   1748.349,     80.044
 27900,     7.028,   2228.524,     95.686
 28896,     7.581,   1771.933,     78.921
 29892,     9.784,    874.587,     91.943
 30888,     7.957,    944.420,     82.034
 31884,     8.856,    893.110,     89.343
 32880,     7.686,   2647.290,    121.563
 33876,     8.883,   1930.783,    200.187
 34872,     9.127,   1040.578,    116.811
 35868,     8.465,   2127.730,    122.547
 36864,     9.643,    915.164,    127.427
 37860,    10.373,   1844.984,    124.767
 38856,     9.586,   1765.148,    132.741
 39852,     8.836,   1710.981,    121.361
 40848,     9.814,   1775.134,    206.127
 41844,    10.936,   1685.733,    157.982
 42840,    10.711,   1697.036,    194.334
 43836,    11.985,   6805.829,    151.862
 44832,    10.989,   1878.197,    175.951
 45828,    12.245,   1786.328,    225.831
 46824,    12.116,   3450.221,    189.118
 47820,    12.938,   3544.426,    203.789
 48816,    12.723,   2073.821,    223.088
 49812,    13.060,   2641.449,    176.096
 50808,    14.161,   3537.688,    198.488
 51804,    14.014,   3495.089,    280.318
 52800,    14.840,   3437.275,    221.648
 53796,    15.153,   6772.178,    212.191
 54792,    14.699,   3372.433,    298.112
 55788,    15.010,   6916.281,    218.863
 56784,    14.678,   6865.733,    250.231
 57780,    20.061,   3276.239,    254.650
 58776,    15.973,   3367.489,    254.979
 59772,    16.635,   6938.221,    572.100
 60768,    14.615,   6694.928,    314.363
 61764,    17.278,   5157.400,    291.832
 62760,    15.930,   6689.551,    629.013
 63756,    19.611,   6713.031,    320.776
 64752,    16.594,   6902.249,    303.551
 65748,    20.119,   3367.485,    379.044
 66744,    17.063,   6959.348,    334.800
 67740,    18.880,   3412.134,    251.650
 68736,    19.338,   6773.214,    288.880
 69732,    20.248,   4341.646,    312.992
 70728,    18.840,   3470.828,    344.904
 71724,    20.002,   3539.356,    268.955
 72720,    19.171,   6575.206,    301.383
 73716,    25.843,   3521.410,    343.332
 74712,    24.141,   7088.513,    379.519
 75708,    23.056,   6664.344,    352.642
 76704,    20.060,   6805.520,    255.007
 77700,    20.212,   3562.067,    408.333
 78696,    23.298,  26318.118,    281.838
 79692,    20.259,   6977.608,    310.595
 80688,    19.838,   6592.963,    240.782
 81684,    20.296,   6703.166,    277.856
 82680,    21.380,   6744.309,    543.971
 83676,    21.528,   7078.190,    385.652
 84672,    24.422,   6707.276,    469.969
 85668,    27.919,   6981.820,    326.840
 86664,    19.506,  13378.621,    274.106
 87660,    20.642,   6616.656,    437.341
 88656,    25.827,  13124.426,    468.098
 89652,    27.673,   6666.806,    478.782
 90648,    22.620,  13306.761,    382.561
 91644,    24.253,   6795.423,    404.281
 92640,    22.138,   6945.934,    462.986
 93636,    28.237,   3623.553,    451.043
 94632,    19.999,  12983.094,    470.914
 95628,    28.305,   6768.700,    451.558
 96624,    30.504,   6612.419,    535.039
 97620,    25.607,   7143.206,    533.047
 98616,    22.798,   6765.124,    416.589
 99612,    23.485,  12973.489,    535.716
100608,
